,raw_text,aspects,sentiments
0,The decor is not special at all but their food and amazing prices make up for it.,"['decor', 'food', 'prices']","['negative', 'positive', 'positive']"
1,"when tables opened up, the manager sat another party before us.","['tables', 'manager']","['neutral', 'negative']"
2,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.","['menu', 'peanut butter roll', 'classics', 'sushi']","['neutral', 'negative', 'positive', 'positive']"
3,"service is good although a bit in your face, we were asked every five mins if food was ok, but better that than being ignored.","['service', 'food']","['positive', 'neutral']"
4,PS- I just went for brunch on Saturday and the eggs served with onions and rosemary were amazing.,"['brunch', 'eggs served with onions']","['neutral', 'positive']"
5,they didn't have to change anything about the menu except add a leg of chicken seperatley and the guy mumbled very rudely that I had already ordered and I should've decided earlier.,"['menu', 'guy']","['neutral', 'negative']"
6,"The server came to us and was sooo hot, he went over the menu and specials with us.","['server', 'menu']","['positive', 'neutral']"
7,The Food The best surprises on the El Salvadorean menu are the appetizers.,"['Food', 'appetizers']","['neutral', 'positive']"
8,"12/24/03  Dinner was ok, service was so- so,the worst part was the hostess - we made reservations a month before Christmas Eve for three people, you would think the table would be large enough for all three of us.","['Dinner', 'service', 'hostess']","['positive', 'neutral', 'negative']"
9,"Still, after all the fuss, the food makes you forget about the wait.","['food', 'wait']","['positive', 'neutral']"
10,I had to physically get out of my seat and find the waitress twice just to ask for more water.,"['seat', 'waitress', 'water']","['neutral', 'negative', 'neutral']"
11,"When we finally got to order, we were told the bartender wasn't there, so we couldn't order any drinks.","['bartender', 'drinks']","['negative', 'neutral']"
12,"Three course meal for lunch was $13, the prices for dinner were just as great!","['course meal', 'lunch', 'prices', 'dinner']","['neutral', 'neutral', 'positive', 'neutral']"
13,"but such remark depicts the worldly somelier/owner/janitor of LPF, who is a true gourmand savvy not only in wine but in the basics of good eat.","['wine', 'eat']","['neutral', 'positive']"
14,"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.","['service', 'menu', 'food']","['positive', 'positive', 'negative']"
15,"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.","['entrees', 'waitresses']","['neutral', 'negative']"
16,"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.","['table', 'reservations', 'owners']","['neutral', 'neutral', 'negative']"
17,"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.","['menu', 'French bistro fare', 'steamed mussels with French fries', 'green peppercorn sauce']","['neutral', 'positive', 'neutral', 'neutral']"
18,The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,"['Scene', 'spot']","['neutral', 'positive']"
19,Get in before peak dinner time (7-8 PM) to avoid harried service.,"['dinner', 'service']","['neutral', 'negative']"
20,"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.","['food', 'meal']","['positive', 'neutral']"
21,"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.","['Dinner', 'succulent salmon fillet', 'caramelized onions']","['neutral', 'positive', 'positive']"
22,"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.","['drinks', 'menu', 'foods', 'veggies', 'sprouts', 'beets']","['neutral', 'neutral', 'positive', 'neutral', 'positive', 'positive']"
23,"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.","['table', 'drinks', 'waiter']","['neutral', 'neutral', 'negative']"
24,Food is pretty good but the service is horrific.,"['Food', 'service']","['positive', 'negative']"
25,The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,"['hostess', 'lounge', 'seats', 'bar', 'order']","['negative', 'neutral', 'neutral', 'neutral', 'neutral']"
26,"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.","['waiter', 'places']","['negative', 'positive']"
27,Summary - good food which they rush you through and do everything to up your bill.,"['food', 'bill']","['positive', 'neutral']"
28,"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.","['bar', 'waiters', 'plates', 'dining room', 'patio']","['neutral', 'positive', 'neutral', 'neutral', 'neutral']"
29,"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.","['mexican', 'bar']","['positive', 'neutral']"
